year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Tufts,"Baron, Seth",Prelim,115.72,1:55.72
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Wesleyan,"Moya, Joaquin",Final,124.71,2:04.71
2002,200_Butterfly,Butterfly,Men,200,2002_Nescac_Msd_Results,Williams,"Welsh, Bryan",Prelim,115.59,1:55.59
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Amherst,"Porter, Colin",Prelim,107.94,1:47.94
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Bates,"Kirkman, Tim",Prelim,109.72,1:49.72
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Bowdoin,"Hammond, Matt",Final,106.82,1:46.82
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Colby,"Walendziak, Nick",Final,103.78,1:43.78
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Connecticut College,"Severance, Pike",Prelim,108.75,1:48.75
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Hamilton,"Thompson, Kevin",Final,103.50999999999999,1:43.51
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Middlebury,"Rahal, Adam",Final,106.6,1:46.60
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Trinity,"Silva, Mark V",Prelim,115.62,1:55.62
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Tufts,"Halpert, Rich",Final,104.42,1:44.42
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Wesleyan,"Barlow, Rob",Prelim,105.3,1:45.30
2002,200_Freestyle,Freestyle,Men,200,2002_Nescac_Msd_Results,Williams,"McBride, Jeff",Final,101.74000000000001,1:41.74
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Amherst,"Morton, Chris",Final,115.34,1:55.34
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Bates,"Eggert, Adam",Final,122.84,2:02.84
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Bowdoin,"Hammond, Matt",Prelim,117.17,1:57.17
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Colby,"Eck, Jonathan",Final,114.56,1:54.56
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Connecticut College,"Pelczar, Jeff",Prelim,130.77,2:10.77
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Hamilton,"Schwenker, Eric",Final,112.77000000000001,1:52.77&
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Middlebury,"Stuntz, Grayson",Final,113.03999999999999,1:53.04
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Trinity,"Lee, Reese D",Prelim,130.16,2:10.16
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Tufts,"Halpert, Rich",Final,116.22999999999999,1:56.23
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Wesleyan,"Salibra, Larry",Prelim,131.55,2:11.55
2002,200_IM,IM,Men,200,2002_Nescac_Msd_Results,Williams,"Borland, Seth",Final,115.0,1:55.00
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Amherst,"O'Brien, Rich W",Prelim,273.85,4:33.85
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Bates,"Eggert, Adam",Final,265.73,4:25.73
2002,400_IM,IM,Men,400,2002_Nescac_Msd_Results,Colby,"DuBois, Justin",Final,252.86,4:12.86
